Description;IAPS;ValenceMean;ValenceSD;ArousalMean;ArousalSD;set
AttractiveFem;4250;6.79;2.05;5.16;2.76;6
EroticFemale;4255;6.06;1.92;5.11;2.64;13
AttractiveFem;4274;5.42;1.83;4.18;2.39;10
AttractiveFem;4275;5.7;2.01;4.41;2.45;9
EroticFemale;4279;5.47;2.04;4.38;2.61;9
EroticFemale;4290;7.61;2.56;7.2;2.63;2
EroticFemale;4300;5.7;2.36;5.99;2.34;3
EroticFemale;4302;4.99;2.64;5.68;2.69;10
EroticFemale;4310;6.04;1.94;5.42;2.24;3
EroticFemale;4311;6.66;1.76;6.67;2.19;16
EroticFemale;4320;6.01;2.12;5.11;2.34;5
AttractiveFem;4325;5.96;1.65;5.18;2.19;17
EroticMale;4460;5.6;1.61;4.94;2.09;3
EroticMale;4470;5.87;1.63;4.81;2.31;3
EroticMale;4490;6.27;1.95;6.06;2.42;2
AttractiveMan;4500;5.7;2.12;3.68;2.42;1
EroticMale;4503;6;1.52;4.93;2.35;14
AttractiveMale;4505;6.21;1.89;5.52;2.26;20
AttractiveMan;4510;5.51;2.5;3.89;2.86;1
EroticMale;4520;7.04;1.64;5.48;2.27;2
EroticMale;4520;6.16;1.54;4.8;2.25;3
AttractiveMale;4525;6.51;1.91;5.17;2.63;19
EroticMale;4530;6.19;1.82;5.31;2.4;2
EroticMale;4531;5.81;1.94;4.28;2.76;8
AttractiveMan;4532;6.4;1.78;4.15;2.44;8
AttractiveMan;4533;6.22;2.24;5.01;2.47;8
MaleDancer;4534;5.7;1.68;4.16;2.37;7
Weightlifter;4535;6.27;1.7;4.95;2.32;7
AttractiveMan;4536;6.01;1.49;3.95;2.3;9
AttractiveMan;4537;5.64;1.78;4.49;2.44;13
EroticMale;4538;5.91;2.03;4.65;2.63;14
BeachBoys;4542;6.33;1.92;5.08;2.41;16
EroticMale;4550;4.95;2.31;5;2.66;9
EroticMale;4559;5.53;1.8;4.83;2.29;15
EroticMale;4561;5.02;2.28;4.35;2.67;10
AttractiveMan;4571;5.49;1.52;3.54;2.31;10
AttractiveMan;4572;6.15;2.06;4.8;2.57;9
AttractiveMale;4573;5.49;1.6;3.96;1.94;17
AttractiveMan;4574;6.62;1.62;4.25;2.29;16
AttractiveMale;4575;6.49;1.96;4.82;2.43;18
Romance;4597;6.95;1.65;5.91;1.86;20
Couple;4598;6.33;2.76;5.53;2.39;10
Romance;4599;7.12;1.48;5.69;1.94;8
Romance;4600;6.41;1.75;4.83;2.1;17
Romance;4601;6.82;1.22;5.08;2.01;8
Romance;4603;7.1;1.58;4.89;2.26;7
EroticCouple;4604;5.98;1.76;6.09;1.87;18
Couple;4605;5.59;1.52;3.84;2.12;10
Romance;4606;6.55;1.62;5.11;2.15;8
EroticCouple;4607;7.03;1.84;6.34;2.16;7
EroticCouple;4608;7.07;1.66;6.47;1.96;7
Couple;4609;6.71;1.67;5.54;2.05;7
Romance;4610;7.29;1.74;5.1;2.29;2
EroticCouple;4611;6.62;1.82;6.04;2.11;8
Couple;4612;6.82;1.67;5.06;1.98;17
Condom;4613;5.34;1.77;4.66;2.2;10
Romance;4614;7.15;1.44;4.67;2.47;9
Romance;4616;6.86;1.52;4.43;2.07;19
EroticFemale;4617;6.6;1.57;5.19;2.1;11
Romance;4619;6.46;1.61;5.09;1.97;18
Harassment;4621;3.19;1.59;4.92;2.24;9
Romance;4622;7.46;1.61;4.11;2.3;13
Romance;4623;7.13;1.8;5.44;2.23;13
Couple;4624;6.84;1.6;5.02;2.05;14
Couple;4625;6.4;1.71;5.05;2.02;14
